id,trial,gender,group,age,time,trial_type,1,2,3,4,5,6,7,8,9,10,correctness_1,correctness_2,correctness_3,correctness_4,correctness_5,correctness_6,correctness_7,correctness_8,correctness_9,correctness_10,,,,,,,,,,,,,,,,,,,,
50,1,M,exercise,24,09:52:16,"['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'True', 'True', 'False', 'False', 'False', 'False', 'False']",1.397763729,0.940419912,1.616384506,0.828005314,1.356147289,1.004341125,1.278223515,1.354931593,1.414642334,1.598649502,0.948654413,1.753626585,1.690371513,1.203631163,1.364842892,1.36309123,2.910728931,1.008437157,1.04865694,0.843933344,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
50,2,M,exercise,24,10:02:09,"['False', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False']",2.253889799,1.321959972,2.322122812,0.932182789,0.905943632,2.216025352,0.818357944,1.881310225,1.25718379,0.900494814,0.932835817,0.984189987,1.2240417,1.168567419,0.806217432,1.113254786,1.346363068,1.578219414,2.288681984,1.240413666,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct
51,1,F,exercise,25,10:11:04,"['True', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'True', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'True', 'False']",2.008411169,1.902970552,1.95321846,2.155068636,1.915935755,2.58963728,2.259503841,1.874275923,1.872977018,1.773428679,3.010242939,1.986763716,1.326373577,2.001786232,2.081938028,1.658226013,1.730584145,1.563118696,1.706073761,1.355524778,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
51,2,F,exercise,25,10:18:41,"['False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'True', 'False']",2.917724848,1.824262381,1.946453333,1.925584793,1.870842695,2.020842314,1.508607626,2.347046137,1.840649843,2.938884497,1.645047188,1.877984762,1.376420021,1.808087349,1.605067492,1.611777544,2.415316343,1.346056461,1.651876926,1.368914604,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
52,1,M,exercise,26,10:00:29,"['False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']",2.190585375,2.762190104,1.539300203,1.445669413,3.072317839,2.668694496,1.972813845,2.11841464,2.52505374,2.393092394,2.090001106,2.394859791,2.480538368,1.93664813,2.783213854,2.278055429,3.184337378,1.856873989,2.313592672,1.568730831,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
52,2,M,exercise,26,10:09:33,"['False', 'True', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'True', 'False', 'True', 'False', 'False', 'True', 'True']",2.553454161,1.611126661,2.228664875,1.60725832,2.49542737,1.278224945,2.372674227,3.154366255,1.924326897,1.352022409,1.997920275,1.984166861,2.967134953,1.482049465,2.453430176,1.563412905,1.952780247,1.772459507,1.628129482,1.431768179,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
53,1,M,exercise,25,10:14:33,"['False', 'False', 'False', 'False', 'False', 'True', 'False', 'True', 'False', 'False', 'True', 'False', 'False', 'True', 'False', 'True', 'False', 'True', 'False', 'False']",1.199172497,1.27815938,1.34999752,1.338485003,1.394766808,1.104038954,1.381590128,1.301923275,1.538366079,1.335261345,1.234052181,1.185820103,1.394777536,1.286133766,1.079144478,1.345615864,1.719580412,1.564061403,1.352655888,1.18428421,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
53,2,M,exercise,25,10:23:48,"['False', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'True', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']",1.495807648,1.372232914,1.186450958,1.314636469,1.60324502,1.619820356,1.591320276,1.583537817,1.003190279,1.34430933,1.185744047,1.538555622,1.495454788,1.05320096,1.192432642,1.320719719,1.105790377,1.330538034,1.474242687,1.366991758,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
54,1,M,exercise,25,10:29:44,"['False', 'False', 'True', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'True', 'True', 'False', 'False', 'False', 'False', 'True', 'False', 'True', 'False']",1.08171916,1.239017963,1.272426128,0.830119133,1.167346954,1.024117708,0.913855553,1.13032937,0.96396184,1.201956749,1.092535734,0.898597479,0.883903742,1.504380941,2.003295898,1.078234434,0.954239607,1.437542439,1.076904058,1.01411891,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
54,2,M,exercise,25,10:37:55,"['False', 'True', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False']",1.270102978,0.983762026,1.389380455,1.066253662,1.446577072,1.499709845,0.912001133,0.918256283,0.904521227,0.964592218,1.028222084,1.419706106,1.352633476,1.507101774,0.950767994,0.947380781,0.986679316,1.804294825,0.899938822,0.841714144,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
55,1,F,exercise,18,12:16:22,"['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False']",2.487668753,2.555342197,1.286813259,1.337089062,1.786764622,1.649356604,1.6410923,1.396356344,2.777493954,1.627296209,2.330590963,1.743414402,1.582880735,1.685307503,2.083330154,1.439140081,1.194164991,1.931029558,1.910276413,1.124800444,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
55,2,F,exercise,18,12:25:30,"['True', 'False', 'False', 'True', 'False', 'False', 'True', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'False', 'True', 'False']",1.915223122,1.155696392,1.526705265,1.279608488,1.070210218,1.224561453,1.880213499,1.135196924,1.251562119,1.460324526,1.173344374,1.438523054,2.133895397,1.306913614,1.143222332,1.634997368,1.800591946,1.895146132,1.373568058,1.988329649,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
56,1,M,control,24,14:33:08,"['False', 'False', 'True', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'True', 'False', 'False', 'False', 'False', 'False', 'False']",1.1183443069458008,1.4710912704467773,1.5249309539794922,1.4247548580169678,2.075364112854004,1.7939600944519043,1.3166725635528564,1.1426465511322021,1.279987096786499,1.2798221111297607,1.3375072479248047,1.511983871459961,1.0992298126220703,1.127626657485962,1.2723774909973145,1.158674955368042,1.1490576267242432,1.330848217010498,1.1855108737945557,1.5018963813781738,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
56,2,M,control,24,14:40:19,"['False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'False', 'True', 'False', 'False', 'True', 'False', 'False']",1.083038091659546,1.3083117008209229,1.177586555480957,1.678379774093628,1.3521313667297363,1.1775739192962646,0.7949836254119873,1.3374652862548828,0.9889578819274902,1.3442835807800293,1.0196335315704346,1.4320776462554932,1.1999592781066895,2.022986888885498,1.3014864921569824,1.4689126014709473,1.989412784576416,0.9320471286773682,1.1781275272369385,1.2146506309509277,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct
